PLAYER,TEAM,POS,POS2,評分,排名,真實薪水,評估薪水,Diff
Mark Williams,PHX,Center,C,5.0 ,128,"$6,276,531 ","$15,760,595 ","$9,484,064 "
Devin Vassell,SAS,Wing,SF,5.0 ,129,"$27,000,000 ","$15,760,595 ","($11,239,405)"
Bobby Portis,MIL,Big,C,5.0 ,130,"$13,445,754 ","$15,760,595 ","$2,314,841 "
Harrison Barnes,SAS,Forward,PF,5.0 ,131,"$19,000,000 ","$15,760,595 ","($3,239,405)"
Khris Middleton,WAS,Forward,PF,5.0 ,132,"$33,296,296 ","$15,760,595 ","($17,535,701)"
D'Angelo Russell,DAL,Point,PG,4.9 ,134,"$5,685,000 ","$14,668,678 ","$8,983,678 "
Chris Paul,LAC,Point,PG,4.9 ,135,"$2,296,274 ","$14,668,678 ","$12,372,404 "
Nickeil Alexander-Walker,ATL,Wing,SG,4.9 ,136,"$15,161,800 ","$14,668,678 ","($493,122)"
Rui Hachimura,LAL,Forward,PF,4.9 ,137,"$18,259,259 ","$14,668,678 ","($3,590,581)"
Max Strus,CLE,Wing,SF,4.9 ,138,"$15,936,452 ","$14,668,678 ","($1,267,774)"
Collin Sexton,CHA,Combo,SG,4.9 ,139,"$18,975,000 ","$14,668,678 ","($4,306,322)"
Mike Conley,MIN,Point,PG,4.9 ,140,"$10,774,038 ","$14,668,678 ","$3,894,640 "
Jonathan Kuminga,GSW,Forward,PF,4.8 ,141,"$22,500,000 ","$14,133,917 ","($8,366,083)"
Caris LeVert,DET,Wing,SG,4.7 ,142,"$14,104,000 ","$13,607,072 ","($496,928)"
Keon Ellis,SAC,Combo,SG,4.7 ,143,"$2,301,587 ","$13,607,072 ","$11,305,485 "
Jabari Smith Jr.,HOU,Big,PF,4.7 ,144,"$12,350,392 ","$13,607,072 ","$1,256,680 "
Gary Trent Jr.,MIL,Wing,SG,4.7 ,145,"$3,697,105 ","$13,607,072 ","$9,909,967 "
Wendell Carter Jr.,ORL,Big,C,4.7 ,146,"$10,850,000 ","$13,088,472 ","$2,238,472 "
Scotty Pippen Jr.,MEM,Combo,PG,4.7 ,147,"$2,270,735 ","$13,088,472 ","$10,817,737 "
Shaedon Sharpe,POR,Wing,SG,4.7 ,148,"$8,399,983 ","$13,088,472 ","$4,688,489 "
Mitchell Robinson,NYK,Center,C,4.6 ,149,"$12,954,546 ","$12,578,438 ","($376,108)"
Jaylen Wells,MEM,Wing,SF,4.6 ,150,"$1,955,377 ","$12,578,438 ","$10,623,061 "
Aaron Wiggins,OKC,Forward,SF,4.5 ,151,"$10,102,803 ","$12,077,280 ","$1,974,477 "
Grayson Allen,PHX,Wing,SG,4.5 ,152,"$16,875,000 ","$12,077,280 ","($4,797,720)"
