Rank,PLAYER,TEAM,POS,POS',評分,真實薪水,評估薪水,差額
129,Devin Vassell,SAS,SF,Wing,5.0 ,"$27,000,000 ","$15,760,595 ","-$11,239,405"
130,Bobby Portis,MIL,C,Big,5.0 ,"$13,445,754 ","$15,760,595 ","$2,314,841"
131,Harrison Barnes,SAS,PF,Forward,5.0 ,"$19,000,000 ","$15,760,595 ","-$3,239,405"
132,Khris Middleton,WAS,PF,Forward,5.0 ,"$33,296,296 ","$15,760,595 ","-$17,535,701"
134,D'Angelo Russell,DAL,PG,Point,4.9 ,"$5,685,000 ","$14,668,678 ","$8,983,678"
135,Chris Paul,LAC,PG,Point,4.9 ,"$2,296,274 ","$14,668,678 ","$12,372,404"
136,Nickeil Alexander-Walker,ATL,SG,Wing,4.9 ,"$15,161,800 ","$14,668,678 ","-$493,122"
137,Rui Hachimura,LAL,PF,Forward,4.9 ,"$18,259,259 ","$14,668,678 ","-$3,590,581"
138,Max Strus,CLE,SF,Wing,4.9 ,"$15,936,452 ","$14,668,678 ","-$1,267,774"
139,Collin Sexton,CHA,SG,Combo,4.9 ,"$18,975,000 ","$14,668,678 ","-$4,306,322"
140,Mike Conley,MIN,PG,Point,4.9 ,"$10,774,038 ","$14,668,678 ","$3,894,640"
141,Jonathan Kuminga,GSW,PF,Forward,4.8 ,"$22,500,000 ","$14,133,917 ","-$8,366,083"
142,Caris LeVert,DET,SG,Wing,4.7 ,"$14,104,000 ","$13,607,072 ","-$496,928"
143,Keon Ellis,SAC,SG,Combo,4.7 ,"$2,301,587 ","$13,607,072 ","$11,305,485"
144,Jabari Smith Jr.,HOU,PF,Big,4.7 ,"$12,350,392 ","$13,607,072 ","$1,256,680"
145,Gary Trent Jr.,MIL,SG,Wing,4.7 ,"$3,697,105 ","$13,607,072 ","$9,909,967"
146,Wendell Carter Jr.,ORL,C,Big,4.7 ,"$10,850,000 ","$13,088,472 ","$2,238,472"
147,Scotty Pippen Jr.,MEM,PG,Combo,4.7 ,"$2,270,735 ","$13,088,472 ","$10,817,737"
148,Shaedon Sharpe,POR,SG,Wing,4.7 ,"$8,399,983 ","$13,088,472 ","$4,688,489"
149,Mitchell Robinson,NYK,C,Center,4.6 ,"$12,954,546 ","$12,578,438 ","-$376,108"
150,Jaylen Wells,MEM,SF,Wing,4.6 ,"$1,955,377 ","$12,578,438 ","$10,623,061"
151,Aaron Wiggins,OKC,SF,Forward,4.5 ,"$10,102,803 ","$12,077,280 ","$1,974,477"
152,Grayson Allen,PHX,SG,Wing,4.5 ,"$16,875,000 ","$12,077,280 ","-$4,797,720"
153,Jerami Grant,POR,PF,Forward,4.5 ,"$32,000,001 ","$12,077,280 ","-$19,922,721"
154,Naji Marshall,DAL,SF,Forward,4.5 ,"$9,000,000 ","$12,077,280 ","$3,077,280"
155,Luke Kornet,SAS,C,Center,4.5 ,"$11,000,000 ","$11,585,295 ","$585,295"
156,Bennedict Mathurin,IND,SF,Wing,4.5 ,"$9,187,573 ","$11,585,295 ","$2,397,722"
157,Dennis Schröder,SAC,PG,Point,4.5 ,"$14,104,000 ","$11,585,295 ","-$2,518,705"
158,Buddy Hield,GSW,SG,Wing,4.5 ,"$9,219,512 ","$11,585,295 ","$2,365,783"
159,Royce O'Neale,PHX,SF,Forward,4.5 ,"$10,125,000 ","$11,585,295 ","$1,460,295"
160,Obi Toppin,IND,PF,Forward,4.4 ,"$14,000,000 ","$11,102,772 ","-$2,897,228"
161,Kelly Oubre Jr.,PHI,PF,Forward,4.4 ,"$8,382,150 ","$11,102,772 ","$2,720,622"
162,Zach Edey,MEM,C,Center,4.4 ,"$6,045,000 ","$11,102,772 ","$5,057,772"
163,Stephon Castle,SAS,SG,Combo,4.4 ,"$9,560,520 ","$11,102,772 ","$1,542,252"
164,Jaden Ivey,DET,SG,Combo,4.4 ,"$10,107,163 ","$11,102,772 ","$995,609"
165,Jared McCain,PHI,SG,Combo,4.3 ,"$4,221,360 ","$10,629,983 ","$6,408,623"
166,T.J. McConnell,IND,PG,Point,4.3 ,"$10,200,000 ","$10,629,983 ","$429,983"
167,Goga Bitadze,ORL,C,Center,4.3 ,"$8,333,333 ","$10,629,983 ","$2,296,650"
168,Kris Dunn,LAC,SG,Combo,4.3 ,"$5,426,400 ","$10,629,983 ","$5,203,583"
169,Cason Wallace,OKC,SG,Combo,4.3 ,"$5,820,240 ","$10,629,983 ","$4,809,743"
170,Derrick Jones Jr.,LAC,SF,Forward,4.3 ,"$10,000,000 ","$10,629,983 ","$629,983"
171,Moses Moody,GSW,SF,Wing,4.3 ,"$11,574,075 ","$10,629,983 ","-$944,092"
172,Steven Adams,HOU,C,Center,4.3 ,"$14,130,435 ","$10,629,983 ","-$3,500,452"
173,Tyus Jones,ORL,PG,Point,4.3 ,"$7,000,000 ","$10,167,188 ","$3,167,188"
174,Kevin Huerter,CHI,SF,Wing,4.3 ,"$17,991,071 ","$10,167,188 ","-$7,823,883"
175,Marcus Smart,LAL,SG,Combo,4.3 ,"$5,134,000 ","$10,167,188 ","$5,033,188"
176,Donovan Clingan,POR,C,Center,4.2 ,"$7,178,400 ","$9,714,632 ","$2,536,232"
